Kabupaten/Kota,Tahun,Luas Wilayah,Indeks Pembangunan Manusia (IPM),Harapan Lama Sekolah (Tahun),Rata-rata Lama sekolah (Tahun),Angka Partisipasi Sekolah (APS) Usia 7-12 (Persen),Angka Partisipasi Sekolah (APS) Usia 13-15 (Persen),Angka Partisipasi Sekolah (APS) Usia 16-18 (Persen),Angka Partisipasi Sekolah (APS) Usia 19-23 (Persen),Rasio Guru per Siswa,Jumlah Penduduk (Ribu),Persentase Penduduk (Persen),Persentase Penduduk Miskin (Persen),Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja - Agustus,Pengeluaran Per Kapita Riil Disesuaikan (Ribu Rupiah),Persentase Rumah Tangga dengan Akses Air Bersih,Laju Pertumbuhan Penduduk per Tahun (persen),Kepadatan Penduduk per km persegi (km²),Gini Ratio
Ngawi,2022,"1295,98","72,62","12,84","7,59","99,57","98,73","76,37","12,45","11,67","877,43","2,13","14,15","2,48","78,6",11563,"99,16","0,48",629,"0,3"
Bojonegoro,2022,"2198,79","71,15","12,84","7,43","99,99","97,56","83,76","14,63","12,21",1.315.13,"3,2","12,21","4,69","72,16",10323,"96,51","0,59",569,"0,28"
Tuban,2022,"1834,15","70,79","12,24","7,37","99,46","96,58","64,64","13,93","12,69",1.209.54,"2,94","15,02","4,54","73,63",10703,"97,51","0,55",613,"0,345"
Lamongan,2022,"1782,05","74,83","14,01","8,33","99,99","98,95","73,67",23,"9,39",1.371.51,"3,33","12,53","6,05","69,3",11648,"78,56","1,16",783,"0,273"
Gresik,2022,"1191,25","77,62","13,96","9,75","99,7","98,51","83,16","26,57","13,10",1.332.66,"3,24","11,06","7,84","68,3",13384,"91,5","0,93","1,061","0,363"
Bangkalan,2022,"1001,44","66,11","11,91","5,97","99,99","99,19","49,15","15,46","13,90",1.086.62,"2,64","19,44","8,05","73,86",8971,"93,91","1,41",835,"0,306"
Sampang,2022,"1233,08","65,44","12,39","5,06","99,07","92,68","55,75","15,91","11,22","984,16","2,39","21,61","3,11","73,37",8944,"93,25","0,85",801,"0,28"
Pamekasan,2022,"792,24","69,35","13,67","6,88","99,41",98,"73,26","16,32","9,39","857,82","2,08","13,93","1,4","73,59",8967,"95,24","0,52","1,079","0,305"
Sumenep,2022,"1998,54","68,49","13,51","5,93","99,74","97,79","78,65","18,54","7,51",1.136.63,"2,76","18,76","1,36","75,12",9388,"94,6","0,62",545,"0,266"
Kota Kediri,2022,"63,4","80,12","15,44","10,45","99,87","98,74","87,08","28,66","15,73","289,42","0,7","7,23","4,38","69,93",12762,"99,77","0,52","4,305","0,371"
Kota Blitar,2022,"32,57","80,15","14,56","10,65","99,49","96,96","90,53","29,66","15,26","151,96","0,37","7,37","5,39","67,78",14058,"99,1","1,07","4,577","0,381"
Kota Malang,2022,"145,28","83,38","15,76","10,69","99,92","99,68","80,75","53,68","15,24","846,13","2,06","4,37","7,66","63,08",16897,"96,76","0,16","7,617","0,421"
Kota Probolinggo,2022,"56,67","76,08","13,67","9,29","99,88","99,28","81,94","22,01","15,64","243,2","0,59","6,65","4,57","68,39",12571,100,"0,84","4,448","0,322"
Kota Pasuruan,2022,"35,29","77,71","13,64","9,67","99,92","98,78","78,7","22,92","14,95","211,5","0,51","6,37","6,18","68,05",13803,100,"0,96","5,424","0,36"
Kota Mojokerto,2022,"20,21","80,19","14,02","10,8","99,67","98,89","81,96","27,66","14,34","134,35","0,33","5,98","5,05","69,41",14054,"98,65","0,82","6,645","0,381"
Kota Madiun,2022,"33,92","83,02","14,43","11,67","99,79","98,43","72,92","33,41","14,14","199,19","0,48","4,76","6,39","66,85",16503,"98,54","1,17","5,514","0,398"
Kota Surabaya,2022,"350,54","83,32","14,83","10,51","97,88","97,77",63,"41,09","17,85",2.887.22,"7,02","4,72","7,62","69,99",18345,"95,66","0,26","8,595","0,388"
Kota Batu,2022,"136,74","78,13","14,4","9,63","99,94","99,25","80,28","41,37","14,71","216,74","0,53","3,79","8,43","71,51",13094,"99,12","0,99","1,116","0,308"
Pacitan,2023,"1389,92","70,94","12,68","7,88","99,98","97,27","79,06","12,14","9,18",588,"1,42","13,65","1,83","81,64",9681,"80,19","0,12",410,"0,352"
Ponorogo,2023,"1305,7","73,18","13,77","7,78","99,28","98,2","79,36","19,04","11,70","959,5","2,31","9,53","4,66","75,88",10658,"94,42","0,39",676,"0,341"
Trenggalek,2023,"1147,22","71,96","12,62","7,9","99,43","96,91","83,34","13,68","12,09","741,2","1,78","10,63","4,52","80,72",10465,"84,87","0,5",593,"0,336"
Tulungagung,2023,"1055,65","74,65","13,34","8,66","99,59","98,66","78,12","23,66","11,97","1107,8","2,67","6,53","5,65","74,7",11565,"97,9","0,6",968,"0,328"
Blitar,2023,"1336,48","72,84","12,65","7,83","98,12","96,5","69,63","16,04","13,88","1253,6","3,02","8,69","4,91","73,5",11499,"96,41","0,88",718,"0,36"
Kediri,2023,"1386,05","74,68","13,62","8,24","98,42","99,23","84,4","18,4","15,10","1677,2","4,04","10,72","5,79","68,74",11952,92,"0,92",1101,"0,306"
Malang,2023,"3530,65",73,"13,48","7,75","99,71","95,27","65,84","29,7","15,85","2715,6","6,54","9,45","5,7","70,66",10791,"98,18","0,83",782,"0,378"
Lumajang,2023,"1790,9","69,37","12,16","7,14","99,65","98,63","59,1","16,44","13,63","1139,1","2,74","8,93","3,67","68,49",9720,"95,49","0,64",634,"0,391"
Jember,2023,"3092,34","70,42","13,49","6,52","99,61","95,11","73,93","24,31","14,33","2586,8","6,23","9,51","4,01","72,3",10277,"97,51","0,71",781,"0,344"
Banyuwangi,2023,"5782,4","73,79","13,12","7,76","98,45","99,2","74,45","16,16","13,84","1743,9","4,2","7,34","4,75","79,04",12820,"97,44","0,76",485,"0,351"
Bondowoso,2023,"1525,97","70,56","13,32","6,36","99,51","98,67","68,71","15,12","9,29","788,2","1,9","13,34","4,15","74,39",11255,"94,43","0,56",507,"0,35"
Situbondo,2023,"1669,87","70,65","13,19","6,9","99,16","95,05","63,52","12,49","10,14",697,"1,68","11,9","3,27","75,28",10702,"97,45","0,58",421,"0,326"
Probolinggo,2023,"1696,21","70,36","12,63","6,29","99,67","96,91","63,59","17,76","12,04","1176,9","2,83","17,19","3,24","69,48",11756,"97,75","0,77",682,"0,319"
